ID,NAME,ADDRESS,CITY,STATE,ZIP,PHONE,UTILIZATION
2a518f65-1a21-4554-8b28-7bed1bb458a7,HEALTHALLIANCE HOSPITALS  INC,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,9784662000,77
06ff6857-67c3-4509-91d5-5edd6445be83,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,6174923500,818
0f07043b-beef-4d8b-abff-05c87ab52e74,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,02703,5082225200,1476
86c22da0-ff11-40ca-9f21-8fb2259f9a78,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,01842,9786834000,944
5c886c4a-6119-4e64-8b9a-f33354b6cf6a,COOLEY DICKINSON HOSPITAL INC THE,30 LOCUST STREET,NORTHAMPTON,MA,01060,4135822000,356
61d629cd-9bd2-45c6-9445-e37863d090f0,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,01301,4137730211,211
b8e7637e-8692-43b8-b9b9-69a1b36dedd5,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,02124,6175062000,3739
c76865d7-d2f8-4a54-b5e2-967183b6ca98,HARRINGTON MEMORIAL HOSPITAL-1,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,5087659771,390
0cdf71b4-8085-4fbf-845d-1e3eb40c276a,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,02721,5086745600,873
6dcff09d-9bbb-4b4e-ba98-223c74bebd6e,HOLYOKE MEDICAL CENTER,575 BEECH STREET,HOLYOKE,MA,01040,4135342500,608
e068fc28-a5a5-4323-b487-c0428f842c18,ANNA JAQUES HOSPITAL,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,9784631000,1780
f1fcd63e-3bcc-4b99-92d0-814ac1374c83,BEVERLY HOSPITAL CORPORATION,85 HERRICK STREET,BEVERLY,MA,01915,9789223000,635
a1f89585-f329-4905-8f06-2546d889bb97,NORTH SHORE MEDICAL CENTER -,81 HIGHLAND AVENUE,SALEM,MA,01970,9787411215,290
12d17ce6-c57c-4d0a-be5d-104f45a22a5a,BERKSHIRE MEDICAL CENTER INC - 1,725 NORTH STREET,PITTSFIELD,MA,01201,4134472000,150
a33efdfc-6347-4988-b2ce-916250891238,MARLBOROUGH HOSPITAL,157 UNION STREET,MARLBOROUGH,MA,01752,5084815000,756
cf028ddf-f3e3-49c6-88f8-b72b276d84da,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,680 CENTER STREET,BROCKTON,MA,02302,5089417000,401
f572aa41-f70b-4679-b1fe-cd817edb25ff,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,275 SANDWICH STREET,PLYMOUTH,MA,02360,5087462000,733
f1b90369-679b-4aa2-a37e-0f5f8a31f2dd,ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,WORCESTER,MA,01605,5087999000,681
c3389712-238e-4d78-bf15-b671475925fb,LOWELL GENERAL HOSPITAL,295 VARNUM AVENUE,LOWELL,MA,01854,9789376000,1260
b5299f97-8730-4266-8179-d51ed870ea04,NOBLE HOSPITAL,115 WEST SILVER STREET,WESTFIELD,MA,01085,4135682811,223
0a327504-b177-4067-b612-b2181cfc1b42,MERCY MEDICAL CTR,271 CAREW STREET,SPRINGFIELD,MA,01104,4137489000,1993
7d09d355-8579-4464-b8d6-3fec7d74e88e,HALLMARK HEALTH SYSTEM,585 LEBANON STREET,MELROSE,MA,02176,7819793000,189
6e75d86d-dc54-423f-a6a4-ff0daf5b8c39,MORTON HOSPITAL,88 WASHINGTON STREET,TAUNTON,MA,02780,5088287000,379
2e9c9f7c-7301-4e46-949e-25a8db3226c2,EMERSON HOSPITAL -,133 OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,01742,9783691400,15
12067d0a-9b28-4b1e-9cf5-ed0c2e5238c6,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,MILFORD,MA,01757,5084731190,1157
3dde3208-4f4b-4101-a0a5-79d08b459e1a,NASHOBA VALLEY MEDICAL CENTER,200 GROTON ROAD,AYER,MA,01432,9787849000,534
67be5623-aba3-4cda-b061-29e7bf02060a,SOUTH SHORE HOSPITAL,55 FOGG ROAD,SOUTH WEYMOUTH,MA,02190,7813408000,106
877caaea-07e7-44e4-adc6-6a09fc23144a,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,02462,6172436000,343
43867c16-cf28-4093-9059-b6da5bb6ac39,WINCHESTER HOSPITAL,41 HIGHLAND AVENUE,WINCHESTER,MA,01890,7817299000,746
85dee452-0ed6-46bc-9393-d2e9c85659fc,NORWOOD HOSPITAL,800 WASHINGTON STREET,NORWOOD,MA,02062,5087721000,1524
ef213de9-9f60-42b6-8105-4c9ec35348ca,FALMOUTH HOSPITAL,67 & 100 TER HEUN DRIVE,FALMOUTH,MA,02540,5085485300,2240
18c01f33-2e1b-44aa-8ead-2ff617d45f95,LAHEY HOSPITAL & MEDICAL CENTER  BURLINGTON,41 & 45 MALL ROAD,BURLINGTON,MA,01803,7817445100,220
194b652f-c57f-4b4b-8eae-60c31f9f2671,METROWEST MEDICAL CENTER,115 LINCOLN STREET,FRAMINGHAM,MA,01701,5083831000,416
d0e85ae6-a7e9-48f7-96fc-eb8939ad609f,PRIMA CARE WALK IN CLINIC,289 PLEASANT STREET,FALL RIVER,MA,2721,508-674-7779,4
b94790a6-2f89-48f6-9fce-aa2efbddfa7e,SAINTS WALK-IN MEDICAL CENTER - URGENT CARE AND OCCUPATIONAL HEALTH,1230 BRIDGE STREET,LOWELL,MA,1850,978-459-2273,1
b7f24555-312a-4e09-9313-605f9fdfd0fe,URGENT CARE MEDICAL CLINIC,629 PLEASANT STREET,BROCKTON,MA,2301,508-583-0010,4
3513d16b-bacd-4247-8990-041b22b6e36c,HANOVER FAMILY HEALTH AND URGENT CARE,1399 WASHINGTON STREET,HANOVER,MA,2339,781-829-1000,2
d22d465d-2fb3-4834-9ce3-2065c09a55da,SAINTS WALK-IN MEDICAL CENTER - URGENT CARE AND OCCUPATIONAL HEALTH,85 PARKHURST ROAD,CHELMSFORD,MA,1824,978-458-6868,2
d1a901fd-5ed5-495d-82c5-76665ee84e2a,CHELSEA MGH HEALTH CENTER MEDICAL WALK IN,151 EVERETT AVENUE,CHELSEA,MA,2150,617-884-8300,2
6bc5119d-a050-4a50-95f0-7b739fc89902,HARVARD VANGUARD BRAINTREE PRACTICE URGENT CARE,111 GROSSMAN DRIVE,BRAINTREE,MA,2184,781-849-1000,5
4244ca2f-7acc-4c62-837b-d3ca5097da58,HAMPDEN COUNTY URGENT MEDICAL CARE CENTER,98 SHAKER ROAD,EAST LONGMEADOW,MA,1028,413-525-3958,25
03f99fb1-f156-4894-95d7-597d994fafc5,FAMILY HEALTH CENTER,26 QUEEN STREET,WORCESTER,MA,1610,508-860-7777,5
4334e0e8-870d-45d2-8e92-05b3a6305628,WINCHESTER HOSPITAL FAMILY MEDICAL CENTER,500 SALEM STREET,WILMINGTON,MA,1887,978-988-6105,9
4cb6c4e1-2b8f-49e5-8721-83108898355f,MID CAPE MEDICAL CENTER,489 BEARSES WAY,HYANNIS,MA,2601,508-771-4092,5
1f82f491-1978-4eea-88da-00035b94b19c,CODMAN SQUARE HEALTH CENTER,637 WASHINGTON STREET,DORCHESTER,MA,2124,617-825-9660,1
6de53f27-780f-467c-93de-f483ab1da64b,CONCENTRA URGENT CARE - WILMINGTON,66B CONCORD STREET,WILMINGTON,MA,1887,978-657-3826,2
6d49c4c0-af75-4268-88e5-71449b4ba40e,URGENT CARE MEDICAL CLINIC,581 BOYLSTON STREET,BOSTON,MA,2116,617-247-1400,3
92d95a78-1d31-44a3-892e-c1c25bf96846,TAUNTON WALK IN HEALTH CLINIC,58 TREMONT STREET,TAUNTON,MA,2780,508-822-2311,1
75eb4934-e20f-4caf-970b-c05d23927ef3,LAHEY CLINIC NORTHSHORE,1 ESSEX CENTER DRIVE,PEABODY,MA,1960,978-538-4000,26
8c27409c-5445-429b-83b8-0042c8aa1711,FALMOUTH HOSPITAL CLINIC AT BOURNE,1 TROWBRIDGE ROAD,BUZZARDS BAY,MA,2532,508-743-0322,1
b4217c1a-0919-497d-a9c9-381ebc988e3a,WALTHAM URGENT CARE,9 HOPE AVENUE,WALTHAM,MA,2453,617-243-5591,6
71b211ec-f144-49b9-8d33-4c9829774077,FONTAINE MEDICAL CENTER,525 LONG POND DRIVE,HARWICH,MA,2645,508-432-4100,4
af62809a-423c-4b73-8fa8-d4f71783bacd,CONCENTRA URGENT CARE - SPRINGFIELD,140 CARANDO DRIVE,SPRINGFIELD,MA,1104,413-746-4006,15
c0b84a8c-d624-48e5-a078-53aa3f0dfd1a,GENERAL HEALTH CARE,66 SOUTH WASHINGTON STREET,NORTH ATTLEBORO,MA,2760,508-643-0100,23
014e130a-923f-4394-a886-08859857e319,RIVER BEND MEDICAL GROUP - CHICOPEE OFFICE - URGENT CARE,444 MONTGOMERY STREET,CHICOPEE,MA,1020,413-594-3111,9
e135f1dd-fd06-43e8-b12e-2915c9fc7d4c,ON CALL URGENT CARE CENTER,51 LOCUST STREET,NORTHAMPTON,MA,1060,413-584-7425,1
0330c4f5-0df8-47ef-829d-a48436f627d0,CONCENTRA URGENT CARE - EAST BOSTON,1 HARBORSIDE DRIVE,EAST BOSTON,MA,2128,617-568-6500,25
5a0ce3e9-191a-4c4c-8004-911aff0dfe3b,ROUTE 44 MEDICAL WALK-IN,106 UNITED STATES HIGHWAY 44,RAYNHAM,MA,2767,508-824-1476,3
e951ac3d-7b4b-4b57-a4d9-2e13f5f259c4,FALLON CLINIC URGENT CARE,630 PLANTATION STREET,WORCESTER,MA,1605,508-595-2505,7
5aaa73e9-5769-4fcc-99b7-7b9e76b0bc2d,PROMPT CARE WALK-IN CLINIC,170 GOVERNORS AVENUE,MEDFORD,MA,2155,781-306-6180,4
